Products,Recommendation
"frozenset({'SPACEBOY BIRTHDAY CARD', 'LUNCH BAG RED RETROSPOT'})","frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD '})"
"frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD '})","frozenset({'SPACEBOY BIRTHDAY CARD', 'LUNCH BAG RED RETROSPOT'})"
"frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD '})","frozenset({'SPACEBOY BIRTHDAY CARD', 'LUNCH BAG RED RETROSPOT', 'ROUND SNACK BOXES SET OF4 WOODLAND '})"
frozenset({'PACK OF 20 SKULL PAPER NAPKINS'}),frozenset({'PACK OF 6 SKULL PAPER CUPS'})
frozenset({'PACK OF 6 SKULL PAPER CUPS'}),frozenset({'PACK OF 20 SKULL PAPER NAPKINS'})
"frozenset({'SPACEBOY BIRTHDAY CARD', 'LUNCH BAG RED RETROSPOT'})","frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD ', 'ROUND SNACK BOXES SET OF4 WOODLAND '})"
"frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD ', 'ROUND SNACK BOXES SET OF4 WOODLAND '})","frozenset({'SPACEBOY BIRTHDAY CARD', 'LUNCH BAG RED RETROSPOT'})"
"frozenset({'SPACEBOY BIRTHDAY CARD', 'LUNCH BAG RED RETROSPOT', 'ROUND SNACK BOXES SET OF4 WOODLAND '})","frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD '})"
"frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY', 'ROUND SNACK BOXES SET OF4 WOODLAND '})","frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT ', 'ROUND SNACK BOXES SET OF 4 FRUITS '})"
"frozenset({'SPACEBOY LUNCH BOX ', 'RED RETROSPOT CHARLOTTE BAG'})","frozenset({'PLASTERS IN TIN VINTAGE PAISLEY ', 'DOLLY GIRL LUNCH BOX', 'ROUND SNACK BOXES SET OF4 WOODLAND '})"
"frozenset({'SPACEBOY LUNCH BOX ', 'RED RETROSPOT CHARLOTTE BAG'})","frozenset({'PLASTERS IN TIN VINTAGE PAISLEY ', 'DOLLY GIRL LUNCH BOX'})"
"frozenset({'PLASTERS IN TIN VINTAGE PAISLEY ', 'DOLLY GIRL LUNCH BOX'})","frozenset({'SPACEBOY LUNCH BOX ', 'RED RETROSPOT CHARLOTTE BAG'})"
"frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT ', 'ROUND SNACK BOXES SET OF 4 FRUITS '})","frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY', 'ROUND SNACK BOXES SET OF4 WOODLAND '})"
"frozenset({'PLASTERS IN TIN VINTAGE PAISLEY ', 'DOLLY GIRL LUNCH BOX', 'ROUND SNACK BOXES SET OF4 WOODLAND '})","frozenset({'SPACEBOY LUNCH BOX ', 'RED RETROSPOT CHARLOTTE BAG'})"
"frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD '})","frozenset({'LUNCH BAG RED RETROSPOT', 'ROUND SNACK BOXES SET OF4 WOODLAND '})"
"frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY', 'LUNCH BAG RED RETROSPOT'})",frozenset({'FOOD CONTAINER SET 3 LOVE HEART '})
"frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD ', 'SPACEBOY BIRTHDAY CARD'})","frozenset({'LUNCH BAG RED RETROSPOT', 'ROUND SNACK BOXES SET OF4 WOODLAND '})"
"frozenset({'LUNCH BAG RED RETROSPOT', 'ROUND SNACK BOXES SET OF4 WOODLAND '})","frozenset({'PLASTERS IN TIN SPACEBOY', 'COWBOYS AND INDIANS BIRTHDAY CARD ', 'SPACEBOY BIRTHDAY CARD'})"
